"","educ","conpress"
"1577",12,NA
"1578",11,NA
"1579",10,NA
"1580",14,NA
"1581",6,NA
"1582",8,NA
"1583",12,NA
"1584",5,NA
"1585",14,NA
"1586",16,NA
"1587",12,NA
"1588",10,NA
"1589",13,NA
"1590",14,NA
"1591",20,NA
"1592",17,NA
"1593",11,NA
"1594",9,NA
"1595",16,NA
"1596",16,NA
"1597",10,NA
"1598",10,NA
"1599",7,NA
"1600",10,NA
"1601",NA,NA
"1602",7,NA
"1603",12,NA
"1604",11,NA
"1605",5,NA
"1606",12,NA
"1607",10,NA
"1608",13,NA
"1609",10,NA
"1610",7,NA
"1611",14,NA
"1612",14,NA
"1613",3,NA
"1614",6,2
"1615",8,2
"1616",11,2
"1617",12,2
"1618",8,3
"1619",12,1
"1620",8,1
"1621",16,1
"1622",7,1
"1623",16,3
"1624",8,1
"1625",12,2
"1626",8,2
"1627",12,2
"1628",12,2
"1629",12,2
"1630",14,2
"1631",11,2
"1632",12,1
"1633",5,1
"1634",16,3
"1635",8,2
"1636",13,2
"1637",13,2
"1638",7,2
"1639",12,1
"1640",6,2
"1641",12,2
"1642",7,2
"1643",13,2
"1644",12,2
"1645",4,1
"1646",10,3
"1647",13,2
"1648",16,1
"1649",16,2
"1650",16,2
"1651",15,2
"1652",16,2
"1653",12,2
"1654",12,2
"1655",11,3
"1656",8,2
"1657",12,3
"1658",18,1
"1659",12,2
"1660",16,2
"1661",16,2
"1662",16,1
"1663",10,3
"1664",15,1
"1665",9,2
"1666",12,3
